timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665147713408,148,Get Users,200,OK,endurance 1-20,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,148,0,112
1665147713557,35,Delete Users,200,OK,endurance 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147713593,36,Get User by ID,200,OK,endurance 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,36,0,0
1665147715434,218,Get Users,200,OK,endurance 1-21,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,218,0,165
1665147715652,54,Delete Users,200,OK,endurance 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,54,0,0
1665147715706,49,Get User by ID,200,OK,endurance 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,49,0,0
1665147717431,168,Get Users,200,OK,endurance 1-22,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,168,0,122
1665147717599,35,Delete Users,200,OK,endurance 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,35,0,0
1665147717635,35,Get User by ID,200,OK,endurance 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,35,0,0
1665147719428,154,Get Users,200,OK,endurance 1-23,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,154,0,110
1665147719582,35,Delete Users,200,OK,endurance 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,35,0,0
1665147719617,36,Get User by ID,200,OK,endurance 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,36,0,0
1665147721426,155,Get Users,200,OK,endurance 1-24,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,155,0,111
1665147721581,35,Delete Users,200,OK,endurance 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665147721617,35,Get User by ID,200,OK,endurance 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665147723426,147,Get Users,200,OK,endurance 1-25,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,147,0,111
1665147723573,36,Delete Users,200,OK,endurance 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,36,0,0
1665147723610,37,Get User by ID,200,OK,endurance 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,37,0,0
1665147725435,148,Get Users,200,OK,endurance 1-26,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,148,0,112
1665147725583,36,Delete Users,200,OK,endurance 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665147725619,35,Get User by ID,200,OK,endurance 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147727429,150,Get Users,200,OK,endurance 1-27,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,150,0,110
1665147727579,36,Delete Users,200,OK,endurance 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665147727615,36,Get User by ID,200,OK,endurance 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665147729426,146,Get Users,200,OK,endurance 1-28,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,146,0,111
1665147729573,36,Delete Users,200,OK,endurance 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,36,0,0
1665147729610,34,Get User by ID,200,OK,endurance 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,34,0,0
1665147731425,156,Get Users,200,OK,endurance 1-29,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,156,0,109
1665147731581,35,Delete Users,200,OK,endurance 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665147731616,35,Get User by ID,200,OK,endurance 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665147733434,160,Get Users,200,OK,endurance 1-30,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,160,0,116
1665147733596,35,Delete Users,200,OK,endurance 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147733631,36,Get User by ID,200,OK,endurance 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,36,0,0
